Event	ID	Name			Wwise Object Path	Notes
	448719855	Destruction_Crystal_Destroy			\Destruction\RegionSpecific\Destruction_Crystal_Destroy	
	1331382810	Ambient_Region_Cave			\Ambient\SoundBankSpecific\Ambient_Region_Cave	
	2644063196	Ambient_WaterDrop			\Ambient\SoundBankSpecific\Ambient_WaterDrop	

Game Parameter	ID	Name			Wwise Object Path	Notes
	3917897988	Distance_to_Player			\Generic\Distance_to_Player	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	292620961	Player_Footstep_grass_walk_01	G:\WPAG_Packaging\wpa-game\Wwise Project\.cache\Android_Low\SFX\Character\Footsteps\BAS_Player_Footstep_grass_walk_01_DCECF8AC.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Movement\Footstep_Surface\Player_Footstep_Woodlands\Player_Footstep_Woodlands_walk\Player_Footstep_grass_walk_01		5454
	293050403	Player_Footstep_grass_run_01	G:\WPAG_Packaging\wpa-game\Wwise Project\.cache\Android_Low\SFX\Character\Footsteps\BAS_Player_Footstep_grass_run_01_DCECF8AC.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Movement\Footstep_Surface\Player_Footstep_Woodlands\Player_Footstep_Woodlands_run\Player_Footstep_grass_run_01		3326
	339750059	Player_Footstep_dirt_run_01	G:\WPAG_Packaging\wpa-game\Wwise Project\.cache\Android_Low\SFX\Character\Footsteps\BAS_Player_Footstep_dirt_run_01_DCECF8AC.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Movement\Footstep_Surface\Player_Footstep_Dirt\Player_Footstep_dirt_run\Player_Footstep_dirt_run_01		1870
	352809797	Player_Footstep_water_walk_03	G:\WPAG_Packaging\wpa-game\Wwise Project\.cache\Android_Low\SFX\Character\Footsteps\BAS_Player_Footstep_water_walk_03_DCECF8AC.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Movement\Footstep_Surface\Player_Footstep_Water\Player_Footstep_water_walk\Player_Footstep_water_walk_03		5558
	387841042	Player_Footstep_grass_walk_02	G:\WPAG_Packaging\wpa-game\Wwise Project\.cache\Android_Low\SFX\Character\Footsteps\BAS_Player_Footstep_grass_walk_02_DCECF8AC.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Movement\Footstep_Surface\Player_Footstep_Woodlands\Player_Footstep_Woodlands_walk\Player_Footstep_grass_walk_02		1424
	407972354	Player_Footstep_dirt_walk_03	G:\WPAG_Packaging\wpa-game\Wwise Project\.cache\Android_Low\SFX\Character\Footsteps\BAS_Player_Footstep_dirt_walk_03_DCECF8AC.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Movement\Footstep_Surface\Player_Footstep_Dirt\Player_Footstep_dirt_walk\Player_Footstep_dirt_walk_03		3061
	417722590	waterdrop_03	G:\WPAG_Packaging\wpa-game\Wwise Project\.cache\Android_Low\SFX\Ambient\Ambient_Emitters\BAS_WaterDrops_03_85E71802.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Ambient\Ambiences\Ambiences_Emitters\Emitters\Ambient_Water_Waterdrops\waterdrop_03		1010
	434501617	Player_Footstep_stone_run_02	G:\WPAG_Packaging\wpa-game\Wwise Project\.cache\Android_Low\SFX\Character\Footsteps\BAS_Player_Footstep_stone_run_02_DCECF8AC.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Movement\Footstep_Surface\Player_Footstep_Stone\Player_Footstep_stone_run\Player_Footstep_stone_run_02		2869
	489594571	Player_Footstep_stone_run_01	G:\WPAG_Packaging\wpa-game\Wwise Project\.cache\Android_Low\SFX\Character\Footsteps\BAS_Player_Footstep_stone_run_01_DCECF8AC.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Movement\Footstep_Surface\Player_Footstep_Stone\Player_Footstep_stone_run\Player_Footstep_stone_run_01		2607
	512076338	waterdrop_01	G:\WPAG_Packaging\wpa-game\Wwise Project\.cache\Android_Low\SFX\Ambient\Ambient_Emitters\BAS_WaterDrops_2D365312.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Ambient\Ambiences\Ambiences_Emitters\Emitters\Ambient_Water_Waterdrops\waterdrop_01		2991
	558246075	Player_Footstep_stone_run_03	G:\WPAG_Packaging\wpa-game\Wwise Project\.cache\Android_Low\SFX\Character\Footsteps\BAS_Player_Footstep_stone_run_03_DCECF8AC.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Movement\Footstep_Surface\Player_Footstep_Stone\Player_Footstep_stone_run\Player_Footstep_stone_run_03		2885
	576812197	Player_Footstep_grass_run_03	G:\WPAG_Packaging\wpa-game\Wwise Project\.cache\Android_Low\SFX\Character\Footsteps\BAS_Player_Footstep_grass_run_03_DCECF8AC.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Movement\Footstep_Surface\Player_Footstep_Woodlands\Player_Footstep_Woodlands_run\Player_Footstep_grass_run_03		2908
	598636424	Player_Footstep_dirt_walk_02	G:\WPAG_Packaging\wpa-game\Wwise Project\.cache\Android_Low\SFX\Character\Footsteps\BAS_Player_Footstep_dirt_walk_02_DCECF8AC.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Movement\Footstep_Surface\Player_Footstep_Dirt\Player_Footstep_dirt_walk\Player_Footstep_dirt_walk_02		2981
	606020004	Destruction_Crystals	G:\WPAG_Packaging\wpa-game\Wwise Project\.cache\Android_Low\SFX\Objects\BAS_Crystals_Destroy_EA3146AA.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Objects\Objects\Object_Destruction\Object_Destruction\Destruction_Crystals		9024
	660387120	waterdrop_06	G:\WPAG_Packaging\wpa-game\Wwise Project\.cache\Android_Low\SFX\Ambient\Ambient_Emitters\BAS_WaterDrops_06_9100D2F2.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Ambient\Ambiences\Ambiences_Emitters\Emitters\Ambient_Water_Waterdrops\waterdrop_06		1316
	766973702	Player_Footstep_grass_walk_03	G:\WPAG_Packaging\wpa-game\Wwise Project\.cache\Android_Low\SFX\Character\Footsteps\BAS_Player_Footstep_grass_walk_03_DCECF8AC.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Movement\Footstep_Surface\Player_Footstep_Woodlands\Player_Footstep_Woodlands_walk\Player_Footstep_grass_walk_03		5119
	769521575	Player_Footstep_dirt_run_02	G:\WPAG_Packaging\wpa-game\Wwise Project\.cache\Android_Low\SFX\Character\Footsteps\BAS_Player_Footstep_dirt_run_02_DCECF8AC.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Movement\Footstep_Surface\Player_Footstep_Dirt\Player_Footstep_dirt_run\Player_Footstep_dirt_run_02		1728
	798941566	Player_Footstep_stone_walk_01	G:\WPAG_Packaging\wpa-game\Wwise Project\.cache\Android_Low\SFX\Character\Footsteps\BAS_Player_Footstep_stone_walk_01_DCECF8AC.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Movement\Footstep_Surface\Player_Footstep_Stone\Player_Footstep_stone_walk\Player_Footstep_stone_walk_01		1363
	844876209	Player_Footstep_stone_walk_02	G:\WPAG_Packaging\wpa-game\Wwise Project\.cache\Android_Low\SFX\Character\Footsteps\BAS_Player_Footstep_stone_walk_02_DCECF8AC.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Movement\Footstep_Surface\Player_Footstep_Stone\Player_Footstep_stone_walk\Player_Footstep_stone_walk_02		1428
	925553325	Player_Footstep_dirt_run_03	G:\WPAG_Packaging\wpa-game\Wwise Project\.cache\Android_Low\SFX\Character\Footsteps\BAS_Player_Footstep_dirt_run_03_DCECF8AC.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Movement\Footstep_Surface\Player_Footstep_Dirt\Player_Footstep_dirt_run\Player_Footstep_dirt_run_03		2674
	951050489	Player_Footstep_water_walk_02	G:\WPAG_Packaging\wpa-game\Wwise Project\.cache\Android_Low\SFX\Character\Footsteps\BAS_Player_Footstep_water_walk_02_DCECF8AC.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Movement\Footstep_Surface\Player_Footstep_Water\Player_Footstep_water_walk\Player_Footstep_water_walk_02		5623

Streamed Audio	ID	Name	Audio source file	Generated audio file	Wwise Object Path	Notes
	393693165	amb_cave_background_LP_short	G:\WPAG_Packaging\wpa-game\Wwise Project\.cache\Android_Low\SFX\Ambient\Ambient_Background\BAS_amb_cave_background_LP_3090B480.wem	393693165.wem	\Actor-Mixer Hierarchy\Default Work Unit\World\Ambient\Ambiences\Ambiences_Background\Ambient_Regions\Ambient_Region_Cave\amb_cave_background_LP_short	

